order_id,item_price,quantity,item_cat,item_name,created_at,delivery_address_1,delivery_address_2,delivery_city,delivery_zipcode
1001,10.99,2,Pizza,Margherita,2022-02-07,"123 Main St",NULL,Cityville,12345
1002,14.99,1,Pizza,Margherita,2022-02-07,"789 Oak Rd",NULL,Villageville,34567
1003,12.19,3,Pizza,Pepperoni,2022-02-07,"456 Elm St","Apt 202",Townsville,67890
1004,8.99,2,Pizza,Margherita,2022-02-07,"987 Maple Ct",NULL,Countryside,56789
1005,10.99,1,Pizza,Hawaiian,2022-02-07,"555 Pine Ave","Suite 101",Hamletown,45678
1006,10.99,2,Pizza,Margherita,2022-02-07,"555 Birch Ave","Unit 101",Hamletville,56789
1007,11.99,3,Pizza,"Veggie Supreme",2022-02-07,"456 Elm St","Apt 202",Townsville,67890
1008,12.19,1,Pizza,Pepperoni,2022-02-07,"789 Pine Rd",NULL,Villagetown,45678
1009,10.99,2,Pizza,Margherita,2022-02-07,"987 Maple Ct",NULL,Countryside,56789
1010,13.99,1,Pizza,"Chicken Alfredo",2022-02-07,"987 Willow Ct",NULL,Suburbia,67890
1011,12.19,3,Pizza,Pepperoni,2022-02-07,"456 Elm St","Apt 202",Townsville,67890
1012,10.99,2,Pizza,Hawaiian,2022-02-08,"123 Elmwood Ave","Suite 303",Citytown,23456
1013,9.99,1,Pizza,Mushroom,2022-02-08,"456 Oak St",NULL,Townsville,34507
1014,19.49,2,Calzone,"Ham & Cheese Calzone",2022-02-08,"789 Pine Rd",NULL,Villagetown,45678
1015,12.19,3,Pizza,Pepperoni,2022-02-08,"555 Birch Ave","Unit 101",Hamletville,56789
1016,11.99,1,Pizza,Cheeseburger,2022-02-08,"987 Willow Ct",NULL,Suburbia,67890
1017,14.49,2,Pizza,"Meat Lovers",2022-02-08,"321 Cedar Ln",NULL,Metropolis,78901
1018,10.99,1,Pizza,Hawaiian,2022-02-08,"123 Main St",NULL,Cityville,12345
1019,12.99,3,Pizza,"Buffalo Chicken",2022-02-08,"456 Elm St","Apt 202",Townsville,67890
1020,12.19,2,Pizza,Pepperoni,2022-02-08,"789 Oak Rd",NULL,Villageville,34567
1021,9.99,1,Pizza,Mushroom,2022-02-08,"555 Pine Ave","Suite 101",Hamletown,45678
